file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,168,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,5
style.css,169,css,f7d29658,Parth Sandeep,2025-04-11,16:11:45,-07:00,2025-04-11T16:11:45-07:00,0,18
style.css,170,css,f7d29658,Parth Sandeep,2025-04-11,16:11:45,-07:00,2025-04-11T16:11:45-07:00,0,17
style.css,171,css,f7d29658,Parth Sandeep,2025-04-11,16:11:45,-07:00,2025-04-11T16:11:45-07:00,0,14
style.css,172,css,f7d29658,Parth Sandeep,2025-04-11,16:11:45,-07:00,2025-04-11T16:11:45-07:00,0,20
style.css,173,css,f7d29658,Parth Sandeep,2025-04-11,16:11:45,-07:00,2025-04-11T16:11:45-07:00,0,11
style.css,174,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,175,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,176,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,3
style.css,177,css,f7d29658,Parth Sandeep,2025-04-11,16:11:45,-07:00,2025-04-11T16:11:45-07:00,0,21
style.css,178,css,f7d29658,Parth Sandeep,2025-04-11,16:11:45,-07:00,2025-04-11T16:11:45-07:00,0,19
style.css,179,css,f7d29658,Parth Sandeep,2025-04-11,16:11:45,-07:00,2025-04-11T16:11:45-07:00,0,17
style.css,180,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,181,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,182,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,6
style.css,183,css,f7d29658,Parth Sandeep,2025-04-11,16:11:45,-07:00,2025-04-11T16:11:45-07:00,0,21
style.css,184,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,185,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,186,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,10
style.css,187,css,f7d29658,Parth Sandeep,2025-04-11,16:11:45,-07:00,2025-04-11T16:11:45-07:00,0,26
style.css,188,css,f7d29658,Parth Sandeep,2025-04-11,16:11:45,-07:00,2025-04-11T16:11:45-07:00,0,21
style.css,189,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,190,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,191,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,16
style.css,192,css,f7d29658,Parth Sandeep,2025-04-11,16:11:45,-07:00,2025-04-11T16:11:45-07:00,0,26
style.css,193,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,194,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,195,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,35
style.css,196,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,14
style.css,197,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,18
style.css,198,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,9
style.css,199,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,11
style.css,200,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,17
style.css,201,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,20
style.css,202,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,24
style.css,203,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,17
style.css,204,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,20
style.css,205,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,20
style.css,206,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,37
